mesure,performance,attractive,indiferent,questionable,reverse,must-be,dominant_category
M13,33.33333333333333,22.22222222222222,22.22222222222222,0.0,11.11111111111111,11.11111111111111,performance
M4,33.33333333333333,44.44444444444444,22.22222222222222,0.0,0.0,0.0,attractive
M1,33.33333333333333,11.11111111111111,0.0,0.0,22.22222222222222,33.33333333333333,performance
M17,28.57142857142857,14.285714285714285,57.14285714285714,0.0,0.0,0.0,indiferent
M6,22.22222222222222,22.22222222222222,44.44444444444444,0.0,11.11111111111111,0.0,indiferent
M11,22.22222222222222,11.11111111111111,44.44444444444444,11.11111111111111,0.0,11.11111111111111,indiferent
M3,14.285714285714285,57.14285714285714,28.57142857142857,0.0,0.0,0.0,attractive
M10,11.11111111111111,22.22222222222222,44.44444444444444,11.11111111111111,11.11111111111111,0.0,indiferent
M8,11.11111111111111,11.11111111111111,77.77777777777779,0.0,0.0,0.0,indiferent
M9,11.11111111111111,22.22222222222222,55.55555555555556,0.0,11.11111111111111,0.0,indiferent
M2,0.0,0.0,16.666666666666664,0.0,50.0,33.33333333333333,reverse
M5,0.0,0.0,77.77777777777779,0.0,22.22222222222222,0.0,indiferent
